,REG,EDULEV,CLETAS,C59AB,C59,C73,SG11,COND3,COND10,COEFF
25372,9,5,9,001,002,007,2,1,1,6107
25386,11,3,15,   ,   ,   ,1,3,10,2584
25387,11,4,15,010,   ,006,2,1,1,2584
25401,12,2,15,   ,   ,   ,2,3,10,16964
25407,11,2,11,002,002,006,1,1,1,2560
25429,9,4,12,004,002,008,2,1,1,8005
25438,11,2,17,   ,   ,   ,1,3,10,2851
25439,11,2,16,   ,   ,   ,2,3,10,2851
25440,10,5,17,   ,   ,   ,1,3,10,2188
25441,10,5,17,   ,   ,   ,2,3,10,2188
25486,12,3,17,   ,   ,   ,1,3,10,5610
25487,12,3,15,   ,   ,   ,2,3,10,5610
25512,12,6,13,011,002,009,2,1,1,29247
25514,11,2,16,003,002,008,1,1,1,4563
25517,9,3,10,004,002,009,1,1,1,16536
25545,10,5,14,   ,001,009,1,1,1,2052
25546,10,5,14,   ,   ,   ,2,3,8,2052
25547,10,5,8,996,002,007,2,1,1,2052
25564,11,2,17,   ,   ,   ,1,3,10,2277
25565,10,3,17,   ,   ,   ,2,3,10,3073
25596,12,2,17,   ,   ,   ,1,3,10,4089
25597,12,2,17,   ,   ,   ,2,3,10,4089
25600,12,3,14,   ,   ,   ,1,3,8,10359
25601,12,3,13,   ,   ,   ,2,3,8,10359
25602,12,3,10,011,002,008,1,1,1,13138
25603,12,5,7,   ,   ,   ,2,3,8,13138
25604,12, ,2,   ,   ,   ,2,3,9,13138
25605,12, ,1,   ,   ,   ,1,3,9,13138
25615,12,5,11,   ,   ,   ,1,3,5,7138
25616,12,3,11,   ,   ,   ,2,3,8,7138
25617,12, ,3,   ,   ,   ,1,3,9,7138
25637,10,3,13,   ,   ,   ,2,3,8,3187
25648,11,5,6,004,002,008,1,1,1,1796
25649,11,4,6,   ,   ,   ,2,3,8,1796
25650,11, ,1,   ,   ,   ,1,3,9,1796
25666,11,5,9,002,002,007,1,1,1,7189
25667,11,3,6,002,002,007,2,1,1,7189
25668,11, ,1,   ,   ,   ,1,3,9,7189
25675,9,3,14,004,002,008,1,1,1,17723
25676,9,3,13,   ,   ,   ,2,3,8,17723
25710,9,2,17,   ,   ,   ,1,3,10,8521
25720,12,6,7,005,002,009,2,1,1,5987
25752,9,5,16,   ,   ,   ,1,3,10,11266
25767,10,5,10,011,002,009,1,1,1,2504
25768,10,5,10,005,002,008,2,1,1,2504
25769,10, ,3,   ,   ,   ,1,3,9,2504
25770,10,6,13,005,002,008,1,1,1,3764
25771,10,5,13,005,002,007,2,1,1,3764
25772,10,6,6,   ,   ,   ,2,3,8,3764
25824,11,2,17,   ,   ,   ,1,3,10,2250
25825,11,2,17,   ,   ,   ,2,3,10,2250
25833,9,6,13,005,002,007,1,1,1,9799
25834,9,5,12,002,002,010,2,1,1,9799
25835,9,6,6,   ,   ,   ,1,3,8,9799
25836,9,3,5,   ,   ,   ,1,3,8,9799
25842,9,6,6,   ,   ,   ,2,3,8,15463
25843,9,5,6,   ,   ,   ,1,3,8,15463
25855,9,5,10,002,002,008,1,1,1,14302
25857,9,2,17,   ,   ,   ,2,3,10,16384
25881,11,6,15,010,   ,007,1,1,1,3871
25882,11,6,14,010,   ,005,2,1,1,3871
25883,11,6,8,010,   ,005,1,1,1,3871
25897,10,3,12,004,002,007,2,1,1,2102
25898,10,2,12,011,002,005,2,1,1,2102
25899,10, ,4,   ,   ,   ,2,3,9,2102
25905,9,3,14,005,002,010,2,1,1,9809
25909,10,2,15,   ,   ,   ,2,3,10,2512
25910,10,5,10,002,002,008,2,1,1,2512
25911,10,3,9,002,002,008,1,1,1,2512
25920,10,2,17,   ,   ,   ,2,3,10,1671
25921,10,5,12,005,002,008,2,1,1,1671
25922,11,4,15,003,002,009,1,1,1,2684
25923,11,3,14,   ,   ,   ,2,3,8,2684
25935,11,3,13,002,002,008,1,1,1,4990
25936,11,5,13,   ,   ,   ,2,3,8,4990
25937,11,3,8,004,002,009,1,1,1,4990
25938,11,5,6,   ,   ,   ,1,3,8,4990
25939,11,5,14,   ,   ,   ,2,3,8,4990
25942,10,1,17,   ,   ,   ,2,3,10,2402
25948,11,5,17,   ,   ,   ,2,3,10,2125
25949,11,2,17,   ,   ,   ,2,3,10,2125
25982,12,3,13,   ,   ,   ,1,3,8,9499
25983,12,2,12,   ,   ,   ,2,3,8,9499
25993,9,6,9,001,   ,008,2,1,1,10454
26010,12,2,17,   ,   ,   ,1,3,10,4955
26011,12,2,17,   ,   ,   ,2,3,10,4955
26036,9,6,8,011,002,006,1,1,1,22195
26037,11,6,10,005,002,010,2,1,1,4270
26038,11, ,3,   ,   ,   ,1,3,9,4270
26054,9,2,17,   ,   ,   ,1,3,10,10657
26055,9,2,17,   ,   ,   ,2,3,10,10657
26056,9,6,11,008,002,008,2,1,1,10657
26057,9,3,12,010,   ,007,1,1,1,10657
26058,9, ,3,   ,   ,   ,2,3,9,10657
26088,9,6,17,   ,   ,   ,1,3,10,8933
26091,9,6,14,   ,   ,   ,1,3,8,15481
26092,9,5,13,005,002,010,2,1,1,15481
26093,9,6,7,003,002,008,2,1,1,15481
26094,9,5,6,   ,   ,   ,1,3,8,15481
26096,12,6,10,005,002,008,1,1,1,10825
26120,10,6,17,   ,   ,   ,2,3,10,2575
26128,12,3,14,003,002,009,2,1,1,5057
26150,12,3,12,010,   ,008,1,1,1,8706
26183,11,3,17,   ,   ,   ,1,3,10,2184
26184,11,2,17,   ,   ,   ,2,3,10,2184
26196,11,2,17,   ,   ,   ,1,3,10,4479
26197,11,2,17,   ,   ,   ,2,3,10,4479
26202,12,2,17,   ,   ,   ,1,3,10,4068
26204,11,3,13,   ,   ,   ,1,3,8,4408
26205,11,4,13,009,002,008,2,1,1,4408
26206,11,5,7,   ,   ,   ,2,3,8,4408
26207,11,5,6,   ,   ,   ,2,3,8,4408
26225,9,5,7,007,002,007,1,1,1,23119
26229,11,5,15,   ,   ,   ,1,3,10,2409
26230,11,6,15,   ,   ,   ,2,3,10,2409
26255,10,2,17,   ,   ,   ,2,3,10,2055
26256,10,5,16,   ,   ,   ,2,3,10,2055
26262,12,3,14,009,002,010,1,1,1,4062
26263,12,3,8,   ,   ,   ,1,2,3,6471
26270,11,3,14,011,   ,007,1,1,1,2983
26271,11,3,13,   ,   ,   ,2,3,8,2983
26272,11,6,8,002,002,008,2,1,1,2983
26273,11,6,6,011,002,007,2,1,1,2983
26281,12,3,15,   ,   ,   ,1,3,10,19902
26282,12,3,15,   ,   ,   ,2,3,10,19902
26283,10,3,16,   ,   ,   ,1,3,10,2040
26284,10,2,16,   ,   ,   ,2,3,10,2040
26295,11,5,8,002,002,008,2,1,1,9333
26296,11,6,9,003,002,008,1,1,1,9333
26300,12,3,16,   ,   ,   ,2,3,10,11295
26301,12,5,10,004,002,008,2,1,1,11295
26327,9,3,17,   ,   ,   ,2,3,10,9294
26337,9,5,17,   ,   ,   ,1,3,10,8236
26369,11,6,9,002,002,008,2,1,1,3441
26370,11,2,15,   ,   ,   ,1,3,10,1866
26371,10,3,16,   ,   ,   ,1,3,10,1892
26372,10,3,14,   ,   ,   ,2,3,8,1892
26373,10,6,15,008,   ,008,1,1,1,2755
26374,10,6,16,   ,   ,   ,2,3,10,2755
26376,10,6,11,009,002,009,1,1,1,3669
26377,10,6,10,005,002,007,2,1,1,3669
26378,10, ,2,   ,   ,   ,2,3,9,3669
26379,10,6,16,   ,   ,   ,1,3,10,2989
26380,10,6,15,   ,   ,   ,2,3,10,2989
26388,9,3,14,004,002,010,2,1,1,11707
26389,9,1,17,   ,   ,   ,2,3,10,9934
26433,10,2,17,   ,   ,   ,1,3,10,2562
26446,9,3,12,010,   ,006,1,1,1,5738
26456,9,2,17,   ,   ,   ,1,3,10,8442
26463,11,3,16,   ,   ,   ,1,3,10,3646
26478,12,5,14,   ,   ,   ,2,3,8,7920
26485,9,3,12,002,002,007,1,1,1,18204
26486,9,5,10,004,002,005,2,1,1,18204
26487,9,5,6,001,002,007,1,1,1,18204
26496,9,5,16,   ,   ,   ,2,3,10,11455
26497,9,6,9,005,002,007,2,1,1,11455
26502,11,3,12,010,   ,007,1,1,1,4303
26503,11,5,12,009,   ,008,2,1,1,4303
26504,11,5,6,   ,   ,   ,1,3,8,4303
26505,11,3,5,   ,   ,   ,2,3,8,4303
26522,9,2,17,   ,   ,   ,1,3,10,14953
26523,9,2,16,   ,   ,   ,2,3,10,14953
26540,11,5,6,011,   ,007,1,1,1,4423
26544,12,5,14,011,002,007,1,1,1,15313
26545,12,3,12,   ,   ,   ,2,3,8,15313
26546,12,5,7,011,002,005,1,1,1,15313
26554,9,3,14,   ,   ,   ,1,3,8,12132
26555,9,3,14,   ,   ,   ,2,3,8,12132
26577,12,6,10,001,002,006,1,1,1,15221
26578,12,6,11,011,002,006,2,1,1,15221
26596,11,5,13,004,   ,008,1,1,1,2886
26597,11,5,13,005,002,008,2,1,1,2886
26598,11,5,6,   ,   ,   ,1,3,7,2886
26630,11,5,13,005,002,008,2,1,1,5417
26631,11,2,14,   ,   ,   ,1,3,8,5417
26632,11,5,8,010,   ,008,1,1,1,5417
26678,10,3,13,002,002,010,2,1,1,3714
26720,12,5,8,007,002,008,1,1,1,50815
26721,12,5,7,011,002,007,2,1,1,50815
26747,12,6,10,   ,   ,   ,2,3,8,13454
26748,12,6,10,   ,   ,   ,1,3,7,13454
26749,12, ,2,   ,   ,   ,1,3,9,13454
26790,11,1,15,002,002,007,2,1,1,2523
26791,11,3,11,   ,   ,   ,2,2,2,2523
26792,11, ,4,   ,   ,   ,1,3,9,2523
26826,10,3,13,011,002,010,1,1,1,5146
26827,10,3,12,010,   ,010,2,1,1,5146
26828,10,5,7,   ,   ,   ,1,2,2,5146
26829,10,5,7,002,002,008,1,1,1,5146
26830,10,3,5,   ,   ,   ,1,3,8,5146
26832,10,4,13,009,002,009,1,1,1,3216
26833,10,3,13,   ,   ,   ,2,3,8,3216
26840,12,3,16,   ,   ,   ,2,3,10,7649
26841,12,5,12,   ,   ,   ,2,3,7,7649
26863,9,3,8,   ,001,008,1,1,1,11381
26864,9,3,9,004,002,008,2,1,1,11381
26865,9, ,1,   ,   ,   ,1,3,9,11381
26905,9,2,16,   ,   ,   ,2,3,10,10249
26906,12,3,10,004,002,010,2,1,1,24153
26907,12,3,9,   ,001,010,1,1,1,24153
26908,12, ,4,   ,   ,   ,1,3,9,24153
26909,12, ,3,   ,   ,   ,1,3,9,24153
26930,11,3,16,   ,   ,   ,1,3,10,2845
26931,11,3,15,   ,   ,   ,2,3,10,2845
26932,11,5,9,   ,   ,   ,1,3,7,2845
26944,9,3,8,011,   ,006,1,1,1,29229
26945,9,3,7,   ,   ,   ,2,3,8,29229
26946,9, ,2,   ,   ,   ,1,3,9,29229
26947,9, ,1,   ,   ,   ,1,3,9,29229
26954,10,5,9,   ,   ,   ,1,2,2,2241
26955,10,5,7,011,002,007,2,1,1,2241
26956,10, ,2,   ,   ,   ,2,3,9,2241
26957,10,5,14,   ,   ,   ,1,3,7,2241
26958,10,5,15,   ,   ,   ,2,3,10,2241
27003,11,2,17,   ,   ,   ,1,3,10,3001
27004,11,2,17,   ,   ,   ,2,3,10,3001
27005,12,6,11,003,002,008,2,1,1,13470
27006,12, ,4,   ,   ,   ,1,3,9,13470
27027,10,1,17,   ,   ,   ,2,3,10,2991
27031,10,5,10,010,   ,008,1,1,1,4302
27032,10,5,10,002,002,008,2,1,1,4302
27033,10, ,4,   ,   ,   ,2,3,9,4302
27034,10, ,1,   ,   ,   ,2,3,9,4302
27054,10,5,13,005,002,008,1,1,1,3349
27062,9,2,17,   ,   ,   ,2,3,10,11850
27065,11,1,17,   ,   ,   ,2,3,10,1635
27066,11,3,11,002,002,007,1,1,1,1635
27067,11,3,12,   ,   ,   ,2,3,8,1635
27089,12,5,13,004,   ,006,1,1,1,6324
27090,12,5,13,004,   ,005,2,1,1,6324
27104,10,5,11,   ,   ,   ,1,2,2,4023
27105,10,4,11,009,002,007,2,1,1,4023
27106,10,3,7,011,002,006,1,1,1,4023
27107,10,3,6,011,002,007,1,1,1,4023
27108,10,3,5,   ,   ,   ,2,3,8,4023
27109,10, ,4,   ,   ,   ,1,3,9,4023
27136,12,5,15,   ,   ,   ,1,3,10,17538
27137,12,5,15,   ,   ,   ,2,3,10,17538
27138,12,5,9,   ,   ,   ,2,3,5,17538
27147,9,5,11,002,002,008,1,1,1,6963
27148,9,6,11,005,002,007,2,1,1,6963
27149,9, ,3,   ,   ,   ,2,3,9,6963
27178,12,3,14,   ,   ,   ,1,3,8,12093
27179,12,5,13,   ,   ,   ,2,3,8,12093
27182,12,3,11,   ,   ,   ,2,3,5,24023
27205,11,5,14,   ,   ,   ,2,3,8,3519
27210,11,6,16,   ,   ,   ,2,3,10,2276
27211,10,4,13,004,   ,006,2,1,1,4723
27212,10,5,7,   ,   ,   ,1,3,8,4723
27216,9,5,11,009,002,010,1,1,1,13266
27238,12,2,17,   ,   ,   ,2,3,10,4577
27250,11,2,17,   ,   ,   ,2,3,10,3308
27292,12,5,12,010,   ,008,1,1,1,27607
27293,12,3,12,011,002,008,2,1,1,27607
27304,11,2,15,003,002,008,1,1,1,5157
27305,11,3,13,   ,   ,   ,2,3,8,5157
27306,11,5,7,003,002,008,1,1,1,5157
27382,10,3,15,   ,   ,   ,1,3,10,3049
27383,10,5,13,011,002,008,2,1,1,3049
27395,9,5,6,   ,   ,   ,2,3,8,13104
27421,9,5,11,005,002,007,2,1,1,11923
27422,9,5,11,005,002,007,1,1,1,11923
27440,9,5,11,011,002,008,1,1,1,7096
27441,9,5,12,005,002,008,2,1,1,7096
27442,9,5,5,   ,   ,   ,1,3,8,7096
27464,9,2,17,   ,   ,   ,2,3,10,13374
27484,9,3,9,   ,   ,   ,1,3,8,13312
27518,11,3,9,002,002,008,2,1,1,2775
27519,11,2,17,   ,   ,   ,2,3,10,4238
27520,11,4,12,002,002,008,1,1,1,4238
27525,10,3,17,   ,   ,   ,2,3,10,2206
27527,9,6,10,010,   ,005,2,1,1,6512
27528,9,3,11,011,002,007,1,1,1,6512
27529,9, ,3,   ,   ,   ,2,3,9,6512
27530,9, ,1,   ,   ,   ,2,3,9,6512
27540,12,3,11,004,002,010,1,1,1,8940
27541,12,4,11,   ,   ,   ,2,3,7,8940
27542,12, ,3,   ,   ,   ,1,3,9,8940
27551,12,2,17,   ,   ,   ,1,3,10,6042
27552,12,2,16,   ,   ,   ,2,3,10,6042
27560,11,6,14,010,   ,006,1,1,1,5966
27561,11,6,14,005,002,008,2,1,1,5966
27562,11,5,8,007,002,008,1,1,1,5966
27563,12,3,16,   ,   ,   ,1,3,10,5984
27564,12,2,16,   ,   ,   ,2,3,10,5984
27571,12,6,17,   ,   ,   ,2,3,10,12486
27585,11,5,11,002,002,007,1,1,1,3508
27586,11,5,11,   ,   ,   ,2,3,8,3508
27587,11,4,6,   ,   ,   ,1,3,5,3508
27611,12,3,14,   ,   ,   ,1,3,8,17140
27656,12,5,15,   ,   ,   ,1,3,10,8778
27657,12,4,13,   ,   ,   ,2,3,8,8778
27658,12,3,16,   ,   ,   ,1,3,10,7382
27659,12,2,16,   ,   ,   ,2,3,10,7382
27660,12,3,13,   ,001,010,1,1,1,31327
27675,11,3,17,   ,   ,   ,2,3,10,2217
27676,11,3,11,002,002,008,1,1,1,2217
27700,12,5,12,   ,   ,   ,2,3,5,12231
27704,12,2,17,   ,   ,   ,1,3,10,13136
27723,12,2,16,   ,   ,   ,2,3,10,23688
27726,9,3,17,   ,   ,   ,2,3,10,5671
27761,12,1,17,   ,   ,   ,2,3,10,3014
27763,10,2,17,   ,   ,   ,1,3,10,2348
27764,10,1,17,   ,   ,   ,2,3,10,2348
27765,12,6,15,010,   ,010,1,1,1,10334
27766,12,5,14,003,002,010,2,1,1,10334
27799,11,2,17,   ,   ,   ,1,3,10,2991
27800,11,2,16,   ,   ,   ,2,3,10,2991
27804,11,3,11,001,002,009,1,1,1,4365
27805,11,3,10,   ,   ,   ,2,3,8,4365
27806,11, ,4,   ,   ,   ,1,3,9,4365
27872,10,5,10,005,002,008,1,1,1,4328
27873,10,6,9,005,002,008,2,1,1,4328
27874,10, ,1,   ,   ,   ,2,3,9,4328
27881,10,5,9,005,002,007,1,1,1,4519
27882,10,6,9,005,002,009,2,1,1,4519
27883,10, ,3,   ,   ,   ,2,3,9,4519
27884,10, ,3,   ,   ,   ,2,3,9,4519
27885,10, ,2,   ,   ,   ,2,3,9,4519
27904,11,3,14,005,002,010,1,1,1,5336
27905,11,6,11,   ,   ,   ,2,2,2,5336
27906,11,3,5,   ,   ,   ,2,3,8,5336
27909,10,5,14,009,002,010,1,1,1,2153
27910,10,5,14,005,002,010,2,1,1,2153
27911,10,6,7,005,002,010,2,1,1,2153
27912,10,6,7,002,002,008,2,1,1,2153
27941,11,2,16,   ,   ,   ,2,3,10,3518
27942,11,3,12,   ,   ,   ,1,2,2,3518
27943,11,4,11,002,002,008,2,1,1,3518
27944,11,5,6,002,002,006,2,1,1,3518
27945,11,3,5,002,002,007,1,1,1,3518
27951,9,3,8,   ,   ,   ,1,3,8,18271
27963,11,2,17,   ,   ,   ,1,3,10,2849
27964,11,2,17,   ,   ,   ,2,3,10,2849
27976,12,6,12,005,002,000,2,1,1,17308
27983,10,2,17,   ,   ,   ,1,3,10,1665
27984,10,3,16,   ,   ,   ,2,3,10,1665
27985,11,2,17,   ,   ,   ,1,3,10,2183
27986,11,2,16,   ,   ,   ,2,3,10,2183
28018,9,5,10,002,002,007,1,1,1,13541
28019,9,4,10,005,002,010,2,1,1,13541
28020,9, ,3,   ,   ,   ,1,3,9,13541
28029,11,6,11,010,   ,010,2,1,1,5101
28030,11,6,11,010,   ,008,1,1,1,5101
28031,11, ,4,   ,   ,   ,1,3,9,5101
28032,11, ,4,   ,   ,   ,2,3,9,5101
28033,11,3,16,   ,   ,   ,2,3,10,4342
28052,9,5,12,   ,   ,   ,1,2,2,8666
28065,10,3,13,003,002,008,2,1,1,2874
28069,10,3,14,   ,   ,   ,1,3,8,4064
28070,10,5,14,006,002,006,2,1,1,4064
28071,10,6,6,003,002,008,1,1,1,4064
28072,12,5,11,011,002,006,1,1,1,17485
28073,12,6,10,011,   ,008,1,1,1,25143
28118,9,6,16,   ,   ,   ,2,3,10,7483
28120,10,6,12,   ,   ,   ,2,3,8,3242
28121,10,6,13,011,   ,007,1,1,1,3242
28122,10,4,17,   ,   ,   ,2,3,10,3242
28123,10,5,6,   ,   ,   ,2,3,8,3242
28124,10,5,6,   ,   ,   ,1,3,8,3242
28125,10, ,4,   ,   ,   ,1,3,9,3242
28133,10,3,15,   ,   ,   ,1,3,10,4081
28145,12,2,14,002,002,008,2,1,1,14154
28146,12,1,17,   ,   ,   ,2,3,10,14154
28147,12,5,9,001,002,009,2,1,1,14154
28148,12, ,2,   ,   ,   ,1,3,9,14154
28149,9,6,14,005,002,007,2,1,1,12097
28154,9,2,17,   ,   ,   ,1,3,10,8269
28164,10,6,10,996,002,007,2,1,1,3408
28170,11,3,16,   ,   ,   ,1,3,10,1648
28171,11,2,16,   ,   ,   ,2,3,10,1648
28177,12,3,9,009,002,008,1,1,1,34032
28178,12,5,8,   ,   ,   ,2,3,7,34032
28179,12, ,2,   ,   ,   ,2,3,9,34032
28193,12,2,17,   ,   ,   ,1,3,10,9857
28201,11,3,15,   ,   ,   ,1,3,10,6617
28207,10,5,10,010,   ,010,1,1,1,6030
28232,11,6,15,   ,   ,   ,2,3,10,3210
28260,9,2,17,   ,   ,   ,1,3,10,12240
28261,9,2,17,   ,   ,   ,2,3,10,12240
28266,11,3,13,   ,001,007,1,1,1,2391
28267,11,5,14,   ,   ,   ,2,3,8,2391
28268,12,5,11,011,002,008,1,1,1,13032
28269,12,3,12,   ,   ,   ,2,3,7,13032
28271,11,3,12,002,002,007,1,1,1,5545
28272,11,1,11,   ,   ,   ,1,3,7,3014
28287,11,4,16,   ,   ,   ,1,3,10,1843
28288,11,1,13,   ,   ,   ,2,3,8,1843
28289,11,3,14,   ,   ,   ,1,2,2,4532
28290,11,3,11,   ,   ,   ,2,3,8,4532
28291,11,3,6,002,002,006,1,1,1,4532
28307,10,5,12,010,   ,009,1,1,1,2317
28308,10,6,12,004,002,008,2,1,1,2317
28309,10,6,15,   ,   ,   ,2,3,10,2317
28310,10,6,16,   ,   ,   ,1,3,10,2317
28315,9,3,13,996,002,005,1,1,1,19391
28316,9,5,13,011,002,008,2,1,1,19391
28317,9,5,6,004,002,006,1,1,1,19391
28318,9,3,5,   ,   ,   ,2,3,8,19391
28329,11,6,8,011,002,007,2,1,1,3866
28330,11,3,8,002,002,006,1,1,1,3866
28331,11, ,3,   ,   ,   ,1,3,9,3866
28339,12,5,17,   ,   ,   ,2,3,10,2488
28391,11,6,14,006,002,009,2,1,1,3588
28431,10,6,12,011,   ,010,1,1,1,4199
28449,12,3,17,   ,   ,   ,1,3,10,9544
28474,10,3,12,004,002,010,1,1,1,3690
28475,10,5,12,004,   ,010,2,1,1,3690
28476,12,4,17,   ,   ,   ,2,3,10,29274
28477,12,1,10,   ,   ,   ,1,3,8,29274
28482,11,2,17,   ,   ,   ,1,3,10,1958
28483,11,2,17,   ,   ,   ,2,3,10,1958
28506,12,3,17,   ,   ,   ,1,3,10,5857
28507,12,2,16,   ,   ,   ,2,3,10,5857
28541,12,3,13,004,002,006,1,1,1,19706
28542,12,4,13,   ,   ,   ,2,3,8,19706
28543,12,5,5,   ,   ,   ,2,3,8,19706
28544,12, ,4,   ,   ,   ,1,3,9,19706
28551,12,6,9,010,   ,008,2,1,1,26431
28552,12,5,10,011,002,007,1,1,1,26431
28553,12, ,2,   ,   ,   ,2,3,9,26431
28554,12,1,17,   ,   ,   ,2,3,10,12155
28555,9,3,14,005,002,000,1,1,1,9042
28556,9,6,8,   ,   ,   ,1,3,5,9042
28579,11,2,17,   ,   ,   ,1,3,10,3445
28587,11,3,14,   ,   ,   ,1,3,8,2480
28588,11,4,13,   ,001,006,2,1,1,2480
28608,11,2,17,   ,   ,   ,1,3,10,4226
28609,11,2,15,   ,   ,   ,2,3,10,4226
28645,11,3,11,004,002,007,1,1,1,2137
28646,11,3,9,002,002,008,2,1,1,2137
28647,11,3,5,   ,   ,   ,1,3,8,2137
28648,11, ,3,   ,   ,   ,1,3,9,2137
28650,12,5,15,   ,   ,   ,1,3,10,3932
28651,12,6,14,   ,   ,   ,2,3,8,3932
28653,9,6,13,002,002,008,1,1,1,11076
28654,9,5,12,   ,   ,   ,2,3,8,11076
28655,9,5,7,   ,   ,   ,1,3,8,11076
28690,12,2,17,   ,   ,   ,2,3,10,2486
28699,10,2,16,   ,   ,   ,2,3,10,3076
28700,10,5,11,   ,   ,   ,1,2,3,3076
28767,12,5,11,002,002,008,2,1,1,12795
28768,12, ,3,   ,   ,   ,1,3,9,12795
28793,10,6,10,011,002,008,1,1,1,2109
28794,10,5,9,   ,   ,   ,2,3,8,2109
28795,10,3,5,   ,   ,   ,2,3,8,2109
28796,10, ,4,   ,   ,   ,2,3,9,2109
28809,10,4,16,010,   ,008,1,1,1,2437
28810,10,3,15,   ,   ,   ,2,3,10,2437
28815,10,5,14,005,002,009,1,1,1,4988
28816,10,3,13,   ,   ,   ,2,3,8,4988
28817,10,6,7,   ,001,009,2,1,1,4988
28822,11,3,11,011,002,007,1,1,1,1303
28823,11,3,12,011,002,007,2,1,1,1303
28824,11,5,6,011,002,007,2,1,1,1303
28844,11,1,17,   ,   ,   ,2,3,10,2333
28851,11,3,17,   ,   ,   ,1,3,10,3285
28852,11,1,17,   ,   ,   ,2,3,10,3285
28894,12,3,14,   ,   ,   ,1,3,8,5338
28895,12,3,14,   ,   ,   ,2,3,8,5338
28896,12,6,8,003,002,008,1,1,1,5338
28910,12,5,14,   ,   ,   ,1,3,8,22970
28911,12,6,12,002,002,007,2,1,1,22970
28912,12,5,7,002,002,008,2,1,1,22970
28930,12,2,16,   ,   ,   ,1,3,10,5477
28931,12,2,15,   ,   ,   ,2,3,10,5477
28932,9,6,7,008,002,008,2,1,1,12506
28935,11,3,17,   ,   ,   ,1,3,10,2635
28936,11,5,17,   ,   ,   ,2,3,10,2635
28937,11,6,13,010,   ,007,1,1,1,2635
28949,11,6,11,005,002,007,1,1,1,4651
28950,11,5,11,   ,   ,   ,2,3,8,4651
28951,11,3,5,   ,   ,   ,2,3,8,4651
28952,11, ,4,   ,   ,   ,1,3,9,4651
28977,12,2,17,   ,   ,   ,2,3,10,5136
28994,9,2,17,   ,   ,   ,1,3,10,18220
28995,9,2,17,   ,   ,   ,2,3,10,18220
29004,11,2,13,   ,   ,   ,1,3,5,2339
29005,11,3,13,011,002,008,1,1,1,2339
29006,11,6,13,002,002,008,1,1,1,2453
29007,11,6,13,   ,   ,   ,2,3,8,2453
29008,11,5,6,   ,   ,   ,1,3,8,2453
29038,11,2,17,   ,   ,   ,2,3,10,3401
29042,9,3,13,010,   ,010,1,1,1,15428
29043,9,5,11,005,002,007,2,1,1,15428
29044,9,5,6,004,   ,007,1,1,1,15428
29052,9,3,12,011,002,008,1,1,1,9453
29053,9,3,11,005,002,008,2,1,1,9453
29054,9,3,5,   ,   ,   ,1,3,8,9453
29055,9, ,3,   ,   ,   ,2,3,9,9453
29061,11,2,17,   ,   ,   ,1,3,10,2389
29065,9,2,17,   ,   ,   ,1,3,10,4461
29085,9,5,9,010,   ,010,1,1,1,15403
29086,9,5,8,004,002,010,2,1,1,15403
29087,9, ,3,   ,   ,   ,2,3,9,15403
29090,11,3,16,   ,   ,   ,1,3,10,6424
29091,11,3,15,   ,   ,   ,2,3,10,6424
29123,10,2,12,002,002,006,1,1,1,2691
29124,10,4,11,   ,   ,   ,2,3,8,2691
29125,10,5,6,004,002,006,1,1,1,2691
29140,12,5,9,007,002,007,1,1,1,7270
29141,12,6,9,   ,   ,   ,2,3,8,7270
29142,12, ,2,   ,   ,   ,1,3,9,7270
29143,12, ,1,   ,   ,   ,1,3,9,7270
29144,12,3,15,   ,   ,   ,2,3,10,7270
29145,11,1,17,   ,   ,   ,1,3,10,2922
29146,11,1,17,   ,   ,   ,2,3,10,2922
29147,11,3,14,002,002,006,1,1,1,2922
29149,9,2,17,   ,   ,   ,2,3,10,5085
29150,9,4,16,   ,   ,   ,1,3,10,5085
29157,10,5,10,010,   ,008,2,1,1,3328
29158,9,6,14,   ,   ,   ,2,3,8,4940
29175,11,3,10,002,002,006,1,1,1,5240
29176,11,5,9,   ,   ,   ,2,3,7,5240
29177,11, ,4,   ,   ,   ,1,3,9,5240
29178,11, ,2,   ,   ,   ,2,3,9,5240
29194,11,2,17,   ,   ,   ,2,3,10,2080
29195,12,5,13,005,002,010,1,1,1,17494
29196,12,6,12,010,   ,010,2,1,1,17494
29197,12,5,6,   ,   ,   ,2,3,8,17494
29198,12,5,6,   ,   ,   ,1,3,8,17494
29209,10,5,15,   ,   ,   ,1,3,10,2434
29210,10,5,15,   ,   ,   ,2,3,10,2434
29211,9,3,12,004,002,007,1,1,1,8518
29212,9,3,11,   ,   ,   ,2,3,8,8518
29213,9, ,3,   ,   ,   ,2,3,9,8518
29214,9,3,5,   ,   ,   ,1,3,8,8518
29215,9,5,5,   ,   ,   ,1,3,8,8518
29234,10,3,8,002,002,007,1,1,1,2712
29235,10,4,7,007,002,997,2,1,1,2712
29236,10, ,3,   ,   ,   ,2,3,9,2712
29279,11,2,17,   ,   ,   ,1,3,10,3744
29280,11,2,16,   ,   ,   ,2,3,10,3744
29286,11,5,8,002,002,006,2,1,1,3311
29305,12,3,12,002,002,010,2,1,1,13295
29306,12,5,6,   ,   ,   ,2,3,8,13295
29307,12,3,5,   ,   ,   ,2,3,8,13295
29336,9,2,16,   ,   ,   ,1,3,10,5803
