,REGMCR,EDULEV,CLETAS,QC67,QC62,QSF11,COND3,COND10,COEFF
25936,11,6,7,007,003,2,1,1,5432
25937,11,4,9,007,005,1,1,1,5226
25938,11,5,10,008,005,2,1,1,5226
25939,11,6,9,009,006,2,1,1,2974
25940,11,5,9,008,002,2,1,1,3597
25941,11, ,3,   ,   ,1,3,9,3597
25942,11,3,11,008,005,2,1,1,4709
25943,11,2,17,   ,   ,1,3,10,4888
25944,11,2,17,   ,   ,2,3,10,4888
25945,11,3,10,005,011,1,1,1,9821
25946,11,5,17,   ,   ,1,3,10,3651
25947,11,6,16,   ,   ,2,3,10,3651
25948,11,3,16,   ,   ,1,3,10,3810
25949,11,4,16,   ,   ,2,3,10,3810
25950,11,3,17,   ,   ,1,3,10,3236
25951,11,4,14,   ,   ,2,3,8,3236
25952,11,3,11,009,011,1,1,1,6845
25953,11,3,11,008,005,2,1,1,6845
25954,11,3,5,005,004,1,1,1,6845
25955,11,5,16,   ,   ,1,3,10,5020
25956,11,5,13,009,006,1,1,1,6849
25957,11,6,8,   ,   ,2,3,8,7304
25958,11,6,8,008,005,1,1,1,7304
25959,11, ,1,   ,   ,1,3,9,7304
25960,11,2,16,   ,   ,1,3,10,8659
25961,11,2,17,   ,   ,2,3,10,9561
25962,11,6,11,997,011,1,1,1,8376
25963,11,6,9,007,001,2,1,1,8376
25964,11, ,2,   ,   ,2,3,9,8376
25965,11,5,13,006,011,2,1,1,3305
25966,11,5,5,   ,   ,2,3,6,3305
25967,11,5,6,   ,   ,2,3,8,3305
25968,11,3,14,   ,   ,1,3,8,2214
25969,11,3,14,   ,   ,2,3,8,2214
25970,11,6,17,   ,   ,1,3,10,1515
25971,11,2,17,   ,   ,2,3,10,1515
25972,11,6,10,005,001,2,1,1,1515
25973,11,6,14,008,006,2,1,1,1722
25974,11,6,15,   ,   ,1,3,10,1722
25975,11,5,11,006,006,1,1,1,2082
25976,11,6,11,   ,   ,2,3,8,2082
25977,11,3,16,   ,   ,1,3,10,2051
25978,11,3,15,   ,   ,2,3,10,2051
25979,11,2,17,   ,   ,1,3,10,2537
25980,11,1,17,   ,   ,2,3,10,2537
25981,11,5,14,   ,   ,2,3,8,1998
25982,11,1,17,   ,   ,2,3,10,4294
25983,11,2,17,   ,   ,2,3,10,3098
25984,11,5,10,008,002,1,1,1,2673
25985,11,5,9,010,004,2,1,1,2673
25986,11, ,3,   ,   ,1,3,9,2673
25987,11, ,3,   ,   ,2,3,9,2673
25988,11,5,8,007,011,1,1,1,4313
25989,11,3,13,   ,   ,1,3,8,4313
25990,11,5,12,006,011,1,1,1,1395
25991,11,3,11,006,005,2,1,1,1395
25992,11,2,17,   ,   ,1,3,10,3792
25993,11,2,17,   ,   ,2,3,10,3792
25994,11,5,11,008,007,1,1,1,3549
25995,11,5,10,007,002,2,1,1,2560
25996,11, ,4,   ,   ,1,3,9,2560
25997,11, ,2,   ,   ,1,3,9,2560
25998,11,3,13,007,002,2,1,1,1982
25999,11,5,8,008,005,1,1,1,4107
26000,11,5,8,008,004,2,1,1,4107
26001,11, ,2,   ,   ,2,3,9,4107
26002,11,5,14,   ,   ,1,3,8,1946
26003,11,5,12,008,006,2,1,1,1946
26004,11,6,7,007,011,1,1,1,1946
26005,11,5,9,010,002,1,1,1,3678
26006,11,5,8,009,005,2,1,1,3678
26007,11, ,3,   ,   ,2,3,9,3678
26008,11,3,8,009,005,1,1,1,7711
26009,11,3,7,009,005,2,1,1,7711
26010,11, ,2,   ,   ,2,3,9,7711
26011,11,3,13,   ,   ,2,3,8,7711
26012,11,3,12,007,010,1,1,1,2956
26013,11,3,5,   ,   ,1,3,8,2956
26014,11,5,7,   ,   ,2,2,2,2956
26015,11,3,13,008,005,2,1,1,1679
